idPot,idAccession,LifeCycleDuration,Final_rosetteDM,FruitNumber,LogisticCoeff_A,LogisticCoeff_B,LogisticCoeff_tinf,Minf,GRinf,RGRinf
779,7092,47,441.47,256,441.47,3.896375731,25.67226263,7.768596485,28.32568202,128.32438
78,7064,81,292.22,160,292.22,8.058791632,44.23140281,4.118965749,9.065254859,62.04404119
780,6898,45,225.12,167,225.12,4.051107021,24.69208931,5.833936816,13.89249894,123.4230538
781,7458,56,365.38,122,365.38,4.181425914,28.12564269,4.72618863,21.84541874,119.5764341
783,9512,34,14.21,62,14.21,3.898621776,12.69334848,4.743935076,0.911219452,128.2504507
784,9766,37,72.76,79,72.76,3.631938716,19.76001907,4.636878554,5.008344419,137.6675211
786,7165,59,452.98,132,452.98,4.580426136,30.4402239,5.164792294,24.72368217,109.1601491
787,9948,79,1583.38,135,1583.38,4.785564184,37.0200366,5.571349728,82.71647497,104.4808889
788,9386,80,1325.24,36,1325.24,5.0021672,36.01084402,7.271277736,66.23329184,99.95667477
789,10003,58,596.64,148,596.64,4.629239911,29.89069942,8.012800093,32.22127236,108.0090921
790,6956,54,274.95,265,274.95,4.11274152,25.87661996,5.671183158,16.71330417,121.5734073
791,9589,84,1435.47,63,1435.47,5.305124335,40.09126876,4.921922253,67.64544568,94.24849795
792,9559,42,136.23,131,136.23,2.491225477,18.4202739,4.485681545,13.67098254,200.7044343
795,9557,78,737.1,245,737.1,5.649458031,36.75895838,6.407311732,32.6181731,88.50406485
8,9659,51,229.66,136,229.66,3.898396343,24.62417141,5.270129668,14.72785088,128.2578671
80,10001,60,552.11,260,552.11,3.761500927,28.24462006,4.287036861,36.69479356,132.9256618
800,9907,52,662.06,NA,662.06,NA,NA,NA,48.21241084,145.64363
801,6043,104,1381.82,38,1381.82,5.951331539,43.9743141,4.568358765,58.04667371,84.01481193
802,9946,40,25.02,272,25.02,2.178500518,13.3998907,4.342283134,2.871240997,229.5156673
803,9727,39,43.61,134,43.61,4.760868269,20.10474146,4.663354159,2.290023454,105.0228596
804,9553,72,962.57,82,962.57,4.817579584,34.46075137,5.965516647,49.95091328,103.7865574
805,9913,60,673.95,146,673.95,4.129318763,30.66747016,4.4880517,40.80273519,121.0853481
806,8230,134,2165.41,25,2165.41,6.322076569,48.71749462,4.730374906,85.62890595,79.08793804
807,9565,56,697.98,140,697.98,4.013128962,30.04530315,4.695055187,43.48103479,124.5910622
808,9768,58,546.58,154,546.58,3.695553452,26.06220172,6.98979377,36.97551713,135.2977318
809,9128,53,345.86,152,345.86,4.460708024,27.91800149,6.118599877,19.38369414,112.0898291
81,9925,60,610.29,150,610.29,2.505756586,22.03009286,4.976684784,60.88879537,199.5405311
810,7328,34,51.43,155,51.43,3.291334797,15.36783467,8.419463495,3.906469804,151.9140503
811,7396,56,418.18,151,418.18,4.116081028,28.2304718,4.928192755,25.39915985,121.4747709
812,9942,67,734.87,70,734.87,3.908763091,31.45346199,3.025308655,47.00144156,127.917704
813,6968,59,401.6,107,401.6,4.323026546,29.18045103,4.696800731,23.22446993,115.6597108
814,9736,52,592.56,NA,592.56,NA,NA,NA,46.23739053,156.0597763
815,6244,79,933.69,NA,933.69,NA,NA,NA,44.20264162,94.6837636
817,7520,47,201.66,197,201.66,4.536781526,24.42138813,8.060850669,11.11250337,110.2102883
818,8334,58,543.49,179,543.49,3.945763502,27.15848806,6.935020537,34.43503391,126.7181877
819,10006,122,3077.18,104,3077.18,5.306911554,45.02475139,4.181090831,144.9609612,94.21675769
82,8369,69,591.88,131,591.88,5.131177426,38.14455051,2.445270481,28.83743588,97.44352192
821,9582,68,1336.07,146,1336.07,3.893452677,31.32426058,5.564240973,85.78953636,128.420721
822,768,54,394.59,207,394.59,4.056268714,27.27291081,5.504001172,24.31976453,123.2659952
823,7075,83,1746.63,55,1746.63,4.720020589,37.24439374,5.42079756,92.51177866,105.9317413
824,9994,52,408.7,87,408.7,3.081242948,22.63439642,6.660066081,33.1603193,162.2721767
825,9637,51,439.55,128,439.55,3.883662816,26.62460362,5.997615751,28.29480962,128.7444414
826,9726,44,220.15,208,220.15,2.5721516,19.70248327,4.950256229,21.39745573,194.3897864
827,6424,49,386.76,NA,386.76,NA,NA,NA,28.39115632,146.8153704
828,763,35,103.19,89,103.19,3.674775123,18.47880405,9.340787997,7.020157461,136.0627476
829,10018,67,1212.2,65,1212.2,3.513745755,30.23994582,3.806946726,86.24699142,142.2982865
83,10018,66,1067.44,108,1067.44,4.109866074,32.57767768,4.372707745,64.9315562,121.6584655
